county_fips,cdd_annual,hdd_annual
13265,2169,2237
13267,2669,1642
13269,2288,2006
13271,2596,1699
13273,2652,1724
13275,2721,1490
13277,2510,1750
13279,2625,1691
13281,988,3469
13283,2539,1766
13285,2114,2255
13287,2538,1766
13289,2380,1928
13291,989,3479
13293,2228,2081
13295,1646,2991
13297,2010,2417
13299,2973,1407
13301,2176,2181
13303,2392,1949
13305,2718,1546
13307,2467,1852
13309,2590,1712
13311,1342,3023
13313,1837,2842
13315,2569,1755
13317,2172,2270
13319,2434,1911
13321,2597,1708
16001,1005,5342
16003,325,7529
16005,420,7005
16007,139,8499
16009,321,6676
16011,447,7102
16013,273,7893
16015,303,7559
16017,234,7472
16019,244,7753
16021,173,8095
16023,288,8081
16025,223,8140
16027,1002,5192
16029,175,8127
16031,508,6676
16033,194,8468
16035,238,7530
16037,74,9102
16039,596,6398
16041,388,7233
16043,138,8553
16045,758,6025
16047,824,5864
16049,131,8150
16051,438,7317
16053,771,5761
16055,349,6840
16057,330,6493
16059,115,8735
16061,371,6617
16063,653,6425
16065,283,7528
16067,586,6513
16069,623,5717
16071,578,6637
16073,610,6374
16075,991,5310
16077,460,6912
16079,204,7770
16081,104,8700
16083,600,6276
16085,83,8929
16087,732,6344
17001,1316,4628
17003,1722,3406
17005,1419,4090
17007,873,5602
17009,1243,4672
17011,986,5223
17013,1394,4255
17015,872,5576
17017,1232,4677
17019,1128,4788
17021,1247,4469
17023,1276,4261
17025,1386,4061
17027,1494,3981
17029,1189,4477
17031,1036,5048
17033,1336,4131
17035,1251,4300
17037,876,5479
17039,1109,4858
17041,1172,4578
17043,1008,5178
17045,1139,4560
17047,1496,3897
17049,1281,4250
17051,1347,4210
17053,1055,4981
17055,1544,3724
17057,1235,4759
17059,1594,3715
17061,1335,4366
17063,1069,5061
17065,1532,3828
17067,1199,4852
17069,1539,3634
17071,1115,5063
17073,1001,5199
17075,1005,5048
17077,1545,3730
17079,1317,4115
17081,1487,3873
17083,1457,4167
17085,784,5810
17087,1519,3644
17089,903,5390
17091,978,5086
17093,991,5195
17095,1062,5090
17097,883,5361
17099,971,5229
17101,1376,4049
17103,933,5393
17105,1075,4980
17107,1147,4786
17109,1138,4938
17111,817,5665
17113,1075,4908
17115,1156,4742
17117,1334,4320
17119,1513,4049
17121,1431,4056
17123,1082,4973
17125,1254,4681
17127,1703,3348
17129,1190,4750
17131,1069,5145
17133,1571,3780
17135,1304,4289
17137,1226,4596
17139,1158,4629
17141,885,5540
17143,1226,4768
17145,1561,3727
17147,1152,4749
17149,1277,4503
17151,1529,3587
17153,1731,3390
17155,1040,5094
17157,1486,3857
17159,1366,4040
17161,1063,5179
17163,1530,3961
17165,1505,3792
17167,1236,4603
17169,1231,4739
17171,1257,4529
17173,1199,4501
17175,1028,5036
17177,786,5820
17179,1195,4744
17181,1537,3695
17183,1059,4852
17185,1480,3888
17187,1062,5143
17189,1487,3918
17191,1461,3946
17193,1638,3753
17195,989,5273
17197,989,5117
17199,1489,3772
17201,901,5559
17203,1090,4921
18001,984,4989
18003,928,5044
18005,1211,4250
18007,929,5077
18009,1029,4908
18011,942,4921
18013,1119,4436
18015,959,4980
18017,910,5084
18019,1359,3937
18021,1282,4328
18023,941,5021
18025,1187,4139
18027,1385,4043
18029,1267,4162
18031,1106,4393
18033,777,5282
18035,994,4792
18037,1287,4072
18039,823,5275
18041,973,4676
18043,1402,3855
18045,974,4893
18047,1097,4448
18049,874,5182
18051,1549,3789
18053,1050,4866
18055,1263,4239
18057,991,4849
18059,1058,4653
18061,1371,3856
18063,1028,4697
18065,929,4819
18067,937,4970
18069,977,5043
18071,1281,4150
18073,889,5125
18075,974,4940
18077,1307,3982
18079,1230,4137
18081,1137,4455
18083,1421,4006
18085,864,5248
18087,781,5328
18089,929,5121
18091,868,5201
18093,1147,4306
18095,980,4889
18097,1124,4566
18099,855,5207
18101,1288,4136
18103,965,5049
18105,1096,4472
18107,947,4896
18109,1127,4494
18111,928,5102
18113,772,5349
18115,1385,3958
18117,1169,4234
18119,1202,4372
18121,1088,4734
18123,1227,4028
18125,1440,3923
18127,878,5205
18129,1659,3677
18131,872,5170
18133,1042,4699
18135,904,4899
18137,1130,4286
18139,1036,4581
18141,861,5193
18143,1337,4007
18145,1166,4362
18147,1379,3836
18149,876,5164
18151,753,5412
18153,1381,4114
18155,1408,3876
18157,971,4923
18159,945,4940
18161,966,4688
18163,1647,3627
18165,1090,4701
18167,1322,4271
18169,1000,5061
18171,973,4961
18173,1510,3764
18175,1218,4171
18177,860,4891
18179,992,4990
18181,911,5069
18183,861,5242
19001,927,5656
19003,1004,5480
19005,674,6333
19007,1081,5188
19009,827,5889
19011,828,5905
19013,871,5883
19015,946,5683
19017,769,6137
19019,740,6116
19021,863,6224
19023,808,6083
19025,872,5961
19027,900,5857
19029,947,5619
19031,854,5672
19033,710,6368
19035,837,6271
19037,647,6443
19039,1129,5303
19041,848,6316
19043,693,6192
19045,965,5358
19047,922,5826
19049,1034,5494
19051,1067,5184
19053,1141,5184
19055,719,6095
19057,1074,5148
19059,756,6576
19061,773,5943
19063,796,6492
19065,641,6391
19067,704,6348
19069,766,6176
19071,1195,5093
19073,891,5807
19075,837,5923
19077,899,5747
19079,788,6042
19081,732,6407
19083,831,5949
19085,1036,5579
19087,1007,5332
19089,577,6674
19091,803,6174
19093,859,6097
19095,963,5592
19097,871,5610
19099,1040,5461
19101,979,5427
19103,921,5578
19105,824,5779
19107,1002,5390
19109,830,6334
19111,1121,5041
19113,852,5762
19115,1072,5167
19117,1070,5271
19119,773,6560
19121,1088,5407
19123,1053,5269
19125,1110,5234
19127,894,5727
19129,1149,5278
19131,613,6573
19133,944,5850
19135,1069,5193
19137,1066,5375
19139,957,5438
19141,817,6388
19143,757,6629
19145,1137,5177
19147,859,6302
19149,877,6173
19151,843,6190
19153,1088,5391
19155,1065,5501
19157,967,5575
19159,1119,5259
19161,903,5968
19163,1050,5226
19165,912,5734
19167,816,6380
19169,956,5644
19171,857,5832
19173,1096,5291
19175,1028,5434
19177,1029,5294
19179,1034,5236
19181,1148,5291
19183,978,5406
19185,1070,5243
19187,789,6039
19189,682,6563
19191,695,6353
19193,883,6038
19195,643,6581
19197,727,6284
20001,1627,3882
20003,1575,4049
20005,1423,4478
20007,2052,3575
20009,1629,4458
20011,1667,3835
20013,1358,4664
20015,1802,3838
20017,1554,4204
20019,1982,3482
20021,1894,3389
20023,1247,4971
20025,1833,3848
20027,1584,4444
20029,1638,4486
20031,1731,3849
20033,1759,3933
20035,1923,3540
20037,1796,3607
20039,1259,5022
20041,1681,4259
20043,1445,4445
20045,1632,4142
20047,1588,4205
20049,1817,3686
20051,1592,4611
20053,1774,4237
20055,1573,4409
20057,1659,4116
20059,1599,4087
20061,1568,4336
20063,1453,4686
20065,1445,4849
20067,1617,4280
20069,1625,4250
20071,1213,4873
20073,1722,3869
20075,1489,4502
20077,2121,3502
20079,1761,4036
20081,1598,4293
20083,1713,4182
20085,1417,4657
20087,1526,4373
20089,1481,4810
20091,1603,4081
20093,1550,4445
20095,1850,3827
20097,1602,4082
20099,1862,3460
20101,1532,4513
20103,1559,4232
20105,1769,4329
20107,1558,4038
20109,1394,4674
20111,1633,4023
20113,1730,4178
20115,1631,4213
20117,1305,4930
20119,1786,3927
20121,1585,4044
20123,1642,4543
20125,1950,3455
20127,1497,4324
20129,1587,4142
20131,1267,4944
20133,1786,3634
20135,1597,4461
20137,1274,5083
20139,1633,4070
20141,1640,4626
20143,1737,4324
20145,1577,4401
20147,1394,4986
20149,1437,4606
20151,1726,4009
20153,1234,5007
20155,1752,4093
20157,1506,4764
20159,1693,4272
20161,1523,4451
20163,1536,4805
20165,1569,4536
20167,1769,4373
20169,1810,4194
20171,1470,4552
20173,1902,3767
20175,1722,4051
20177,1610,4259
20179,1317,4945
20181,1249,4969
20183,1435,4951
20185,1603,4373
20187,1557,4322
20189,1679,4113
20191,2097,3509
20193,1273,4942
20195,1500,4707
20197,1525,4316
20199,1280,4818
20201,1371,4863
20203,1346,4688
20205,1858,3596
20207,1741,3755
20209,1596,4140
21001,1462,3590
21003,1616,3360
21005,1470,3699
21007,1826,3228
21009,1597,3425
21011,1236,3871
21013,1072,3864
21015,1408,3973
21017,1322,3900
21019,1410,3701
21021,1393,3741
21023,1209,4131
21025,1346,3638
21027,1318,3835
21029,1547,3594
