zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
27051,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27265,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28006,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28606,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27014,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28609,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28164,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28009,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27023,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28613,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27009,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27235,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28146,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28137,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27127,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28636,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27054,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27048,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
27022,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28630,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28610,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
28120,21632,EnergyUnited Elec Member Corp,NC,Bundled,Cooperative,0.09791114141313051,0.05830775236011585,0.11538833086843418
